ilce,tur,ad,dosya,longitude,latitude
ALİAĞA,MAHALLE,KARAKÖY,ALİAĞA_KARAKÖY_mahalle_siniri.kml,27.095301500219538,38.808125513703104
ALİAĞA,MAHALLE,KURTULUŞ,ALİAĞA_KURTULUŞ_mahalle_siniri.kml,26.995692328086214,38.79534639906654
ALİAĞA,MAHALLE,KÜLTÜR,ALİAĞA_KÜLTÜR_mahalle_siniri.kml,26.99973895797061,38.8045963120692
ALİAĞA,MAHALLE,MİMAR SİNAN,ALİAĞA_MİMAR_SİNAN_mahalle_siniri.kml,27.032445123789266,38.70118394573445
ALİAĞA,MAHALLE,SAMURLU,ALİAĞA_SAMURLU_mahalle_siniri.kml,26.976073296363957,38.764992062393304
ALİAĞA,MAHALLE,SİTELER,ALİAĞA_SİTELER_mahalle_siniri.kml,26.921536490461136,38.79772463142695
ALİAĞA,MAHALLE,UZUNHASANLAR,ALİAĞA_UZUNHASANLAR_mahalle_siniri.kml,27.081139059526656,38.77298185528744
ALİAĞA,MAHALLE,YALI,ALİAĞA_YALI_mahalle_siniri.kml,27.00481999351992,38.82637029580838
ALİAĞA,MAHALLE,YENİ,ALİAĞA_YENİ_mahalle_siniri.kml,26.981766592240522,38.78545978349154
ALİAĞA,MAHALLE,YUKARI ŞAKRAN,ALİAĞA_YUKARI_ŞAKRAN_mahalle_siniri.kml,27.084250105464648,38.899516597101865
ALİAĞA,MAHALLE,YUKARI ŞEHİTKEMAL,ALİAĞA_YUKARI_ŞEHİTKEMAL_mahalle_siniri.kml,27.01458689855662,38.73833597471545
ALİAĞA,MAHALLE,YÜKSEKKÖY,ALİAĞA_YÜKSEKKÖY_mahalle_siniri.kml,27.145628789685727,38.89474388789194
ALİAĞA,MAHALLE,ÇAKMAKLI,ALİAĞA_ÇAKMAKLI_mahalle_siniri.kml,26.919355017867105,38.74993032092878
ALİAĞA,MAHALLE,ÇALTILIDERE,ALİAĞA_ÇALTILIDERE_mahalle_siniri.kml,27.024354092221536,38.847360794679346
ALİAĞA,MAHALLE,ÇITAK,ALİAĞA_ÇITAK_mahalle_siniri.kml,27.062734277157215,38.74922311407025
ALİAĞA,MAHALLE,ÇORAKLAR,ALİAĞA_ÇORAKLAR_mahalle_siniri.kml,27.05737389348624,38.8189141403279
ALİAĞA,MAHALLE,ŞEHİTKEMAL,ALİAĞA_ŞEHİTKEMAL_mahalle_siniri.kml,26.996850055011517,38.74113759620662
ALİAĞA,MAHALLE,ALİAĞA,ALİAĞA_ALİAĞA_mahalle_siniri.kml,26.953647259699917,38.794945862424015
ALİAĞA,MAHALLE,ATATÜRK,ALİAĞA_ATATÜRK_mahalle_siniri.kml,26.933459167169232,38.81678855887525
ALİAĞA,MAHALLE,AŞAĞIŞAKRAN,ALİAĞA_AŞAĞIŞAKRAN_mahalle_siniri.kml,27.07420654490954,38.92222697930511
ALİAĞA,MAHALLE,BAHÇEDERE,ALİAĞA_BAHÇEDERE_mahalle_siniri.kml,27.108010987437375,38.895117067423534
ALİAĞA,MAHALLE,BARBOROS HAYRETTİN PAŞA,ALİAĞA_BARBOROS_HAYRETTİN_PAŞA_mahalle_siniri.kml,27.00307746484624,38.707506467417105
ALİAĞA,MAHALLE,BOZKÖY,ALİAĞA_BOZKÖY_mahalle_siniri.kml,26.95717110827913,38.72662058322184
ALİAĞA,MAHALLE,FATİH,ALİAĞA_FATİH_mahalle_siniri.kml,26.96837054054363,38.67652692434525
ALİAĞA,MAHALLE,GÜZELHİSAR,ALİAĞA_GÜZELHİSAR_mahalle_siniri.kml,27.029023171558627,38.781116343971334
ALİAĞA,MAHALLE,HACIÖMERLİ,ALİAĞA_HACIÖMERLİ_mahalle_siniri.kml,27.136705856977215,38.8426664166088
ALİAĞA,MAHALLE,HELVACI,ALİAĞA_HELVACI_mahalle_siniri.kml,26.987183562118673,38.69496998897751
ALİAĞA,MAHALLE,HOROZGEDİĞİ,ALİAĞA_HOROZGEDİĞİ_mahalle_siniri.kml,26.927388216693853,38.72895600149305
ALİAĞA,İLÇE,ALİAĞA,ALİAĞA_ilce_siniri.kml,27.044058494575307,38.79948109962675
ALİAĞA,MAHALLE,KALABAK,ALİAĞA_KALABAK_mahalle_siniri.kml,27.098694280984716,38.8404206361847
ALİAĞA,MAHALLE,KAPUKAYA,ALİAĞA_KAPUKAYA_mahalle_siniri.kml,27.13951688118975,38.874691298927175
ALİAĞA,MAHALLE,KARAKUZU,ALİAĞA_KARAKUZU_mahalle_siniri.kml,27.11462971002134,38.75911710750991
BALÇOVA,MAHALLE,BALÇOVA,BALÇOVA_BALÇOVA_mahalle_siniri.kml,27.051565131379203,38.39021818145117
BALÇOVA,İLÇE,BALÇOVA,BALÇOVA_ilce_siniri.kml,27.052043183998606,38.38905281757322
BALÇOVA,MAHALLE,TELEFERİK,BALÇOVA_TELEFERİK_mahalle_siniri.kml,27.04963764292341,38.380631245680554
